Block Type,Fast 96-Well Block (0.1mL),,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,06-08-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CALFL-ORNG is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CALFL-ORNG performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CALFL-RED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CALFL-RED performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-11-2026,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2026-06-09 19:32:37 PM UTC,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\QuantStudio Real-Time PCR Software\User Files\WLE_Weekly\2026 WLE Weekly Data\2026-06-01_WLE-weekly_DNA-TC-TX_Undiluted.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,2026-06-01_WLE-weekly_DNA-TC-TX_Undiluted.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2026-06-09 20:21:35 PM UTC,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,278862765,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,278862765,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio(TM) 6 Flex System,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Analysis is performed,"Stage 2, Step 2",,,,,,,,,,,,,,,,,,,,,,,,
User Name,TA + PKS + PD,,,,,,,,,,,,,,,,,,,,,,,,
